K. Tidur,K. Mandi,L. Tanah,L. Bangunan,Tipe Properti,Sertifikat,price_juta,installment_juta,kecamatan,provinsi,Longitude,Latitude,num_facilities,outdoor_facilities,ac,security,laundry,park,published_date,num_char_desc,no_banjir,transportation
2.0,1.0,60.0,30.0,Rumah,SHM - Sertifikat Hak Milik,600.0,4.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,12,1,1,1,1,1,2022-09-08,750,0,1
2.0,2.0,96.0,72.0,Rumah,SHM - Sertifikat Hak Milik,705.0,5.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,3,1,0,1,0,0,2022-09-08,482,0,1
2.0,1.0,75.0,55.0,Rumah,SHM - Sertifikat Hak Milik,450.0,3.0,Jatinegara,Jakarta Timur,106.8703394,-6.2149252,5,1,1,1,0,0,2022-09-02,402,1,1
2.0,1.0,60.0,45.0,Rumah,SHM - Sertifikat Hak Milik,450.0,3.0,Jatinegara,Jakarta Timur,106.8703394,-6.2149252,5,1,1,1,0,0,2022-09-02,400,1,1
2.0,1.0,72.0,45.0,Rumah,HGB - Hak Guna Bangunan,600.0,4.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,1,0,0,0,0,0,2022-07-28,394,1,1
2.0,1.0,72.0,60.0,Rumah,SHM - Sertifikat Hak Milik,650.0,4.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,1,0,0,0,0,0,2022-07-28,394,1,1
2.0,2.0,72.0,56.0,Rumah,SHM - Sertifikat Hak Milik,565.0,4.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,1,0,0,0,0,0,2022-07-28,394,1,1
2.0,1.0,72.0,42.0,Rumah,SHM - Sertifikat Hak Milik,625.0,4.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,1,0,0,0,0,0,2022-07-28,394,1,1
3.0,2.0,72.0,69.0,Rumah,SHM - Sertifikat Hak Milik,700.0,5.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,5,1,1,1,0,0,2022-07-28,271,0,1
3.0,2.0,63.0,110.0,Rumah,SHM - Sertifikat Hak Milik,750.0,5.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,7,1,1,1,0,0,2022-07-22,1093,0,1
2.0,2.0,45.0,50.0,Rumah,SHM - Sertifikat Hak Milik,699.0,5.0,Lubang Buaya,Jakarta Timur,106.89991208862855,-6.29403815,2,0,1,1,0,0,2022-07-22,924,0,1
3.0,2.0,62.0,60.0,Rumah,SHM - Sertifikat Hak Milik,700.0,5.0,Cipayung,Jakarta Timur,106.8930244,-6.329545,1,0,0,1,0,0,2022-07-22,860,0,1
3.0,2.0,45.0,57.0,Rumah,SHM - Sertifikat Hak Milik,799.0,5.0,Pasar Rebo,Jakarta Timur,106.85337593386294,-6.324972750000001,1,0,0,1,0,0,2022-07-22,830,1,1
2.0,1.0,84.0,54.0,Rumah,SHM - Sertifikat Hak Milik,690.0,4.0,Cibubur,Jakarta Timur,106.88356296718192,-6.3561084999999995,5,1,1,1,0,0,2022-07-21,379,0,0
